20
IE001A,E,Farm truck,BuzzKit 117
IE0139,E,Sprayer,Evolve Gen.II-109T
IE345F,E,Seed drill,RAZOR 666
IE117E,E,Cultipacker,Warrior X3
IE873W,E,Subsoiler,BlueSteel Type A1
IE549T,E,Land Imprinter,NightHound MAC V
IE96T3,E,Tractor,WTD 1999
IP094P,P,Potato seeds,bag,25
IP067C,P,Carrot seeds,bag,25
IP084C,P,Cabbage seeds,bag,25
IP012M,P,2% Milk,bottle,12
IP028S,P,Great soil,ton,20
IP0F87,P,Grass Seeds,pound,25
IS002T,S,Transportation,100
IS004M,S,Maintaining,100
IS008A,S,Auditing,50
IS017H,S,Harvesting,10
IS010C,S,Constructing,100
IS023T,S,Tracking,50
IS025T,S,Teaching assistant,20
