20
9e4d34,E,Computer,VIOA 2010
14s7tR,E,Air conditioner,SamSung 109T
865lkR,E,Knife toolkit,RAZOR 666
16gfRm,E,Pencil case,Beauty X3
9074TA,E,Printer,Type A1
127VBF,E,Laptop,MAC V
IWNJ98,E,Scanner,WTD 1999
00094P,P,Potatoes,bag,500
00067C,P,Carrot,bag,1000
00084C,P,Cabbage,bag,500
00012M,P,2% Milk,bottle,250
000GSS,P,Great soil,ton,1000
MMNF87,P,Candy,pound,150
SFYIDC,S,Transportation,250
TI4YRQ,S,Maintaining,100
WTHTYS,S,Auditor,25
NIDNTD,S,Harvesting,10
GMTMNM,S,Constructing,500
ONYDDD,S,Tracking,1000
YGFYSD,S,Teaching assistant,50
